time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.84914565258e-08,1.67426524413e-06,10.0016103071,0.00114760684887,6.2829158641,0.0,1.35384990352e-05,0.00012466244918,0.0536753448086,0.0423988066578,-0.015465871302,0.0,421.9521806229547,420.61522568484446,420.77717732407996,424.4311537686079
0.12000000000000001,1.04736896373e-05,4.43564999945e-05,10.0087504722,0.00394588910687,6.28189631901,0.0,0.000436515646131,0.00158386503092,0.184316658694,0.0539936841556,-0.020234848436,0.0,445.90392035197533,445.5143120507594,446.8669211702406,447.81217987943336
0.18,6.63649276296e-05,0.000228525374072,10.0217605732,0.00680361779317,6.28066008317,0.0,0.0015451318939,0.00485482227665,0.249339172198,0.030177350676,-0.0213524333566,0.0,425.5120819714292,425.416409524889,426.9649071393378,424.9299015476509
0.23999999999999996,0.000225278198165,0.000690629453063,10.0429953715,0.0085672229367,6.27923773903,0.0,0.00391098307329,0.0107594350828,0.458424335598,0.0277778413115,-0.0288845261281,0.0,471.73177627909473,471.1498570771117,469.32761397835566,469.1415816633611
0.3,0.000541339892275,0.00150556467177,10.0719317052,0.0101218827104,6.27760444112,0.0,0.00678280043814,0.0165569638132,0.506097700972,0.021888860956,-0.0240880554319,0.0,420.04133832983814,420.45679907507605,420.4302850786984,419.9199965310082
0.36000000000000004,0.00108815895585,0.00274703746973,10.1085810808,0.0112584344935,6.27632113437,0.0,0.0116045592518,0.0249699997399,0.715437671399,0.0122810707576,-0.0164729615049,0.0,469.91488154783195,470.5047442342394,471.4215836788918,470.67864904908464
0.4200000000000001,0.00196947241859,0.00454547502841,10.1601832697,0.0121368604389,6.27571289002,0.0,0.0178718387118,0.035080949867,1.00442471995,0.0189845515987,0.000213434716199,0.0,493.07695817457875,494.3080969724486,493.69007794733034,494.1842476686961
0.48000000000000015,0.00319647921512,0.00690617188289,10.223516794,0.0131606733028,6.27587276351,0.0,0.0230184196093,0.0437186971895,1.10659757032,0.0129147622231,0.00716448231457,0.0,438.1986443072967,438.77597690893356,439.0480204272697,438.5441216316543
0.5400000000000001,0.00473624672116,0.00982240571854,10.2941767908,0.0148795903681,6.27612636358,0.0,0.0282682722723,0.0536338668621,1.2485891458,0.0491634606536,-0.00241387288771,0.0,452.3868500022628,451.61494929894894,449.1010574561066,452.03150761424473
0.6000000000000002,0.00658993132523,0.0133840844876,10.3737196344,0.017576935782,6.27626645729,0.0,0.0335186746584,0.0653984270012,1.4026571589,0.034831532917,0.0104533346604,0.0,455.4467456508859,456.47456995249445,455.2365985480254,454.08956148205255
0.6600000000000003,0.00874933276961,0.0177002086671,10.462024624,0.0191117756187,6.27694493213,0.0,0.0383897973959,0.0786811572415,1.5406626828,-0.00873702783998,0.012964510413,0.0,449.81133651429747,450.01450712528344,453.3947459454472,449.8811867180526
0.7200000000000003,0.0111898562354,0.0228486746486,10.5592983838,0.0182252801846,6.27735824208,0.0,0.0428887712755,0.0928561035775,1.7015717912,-0.0309687233435,-0.00945146339395,0.0,457.6853474177997,455.8978843770203,460.4209741227446,458.6589292447049
0.7800000000000004,0.0139019645367,0.0288384622918,10.6671171835,0.0167116754516,6.27662032155,0.0,0.0475875219898,0.10660554324,1.89209520692,-0.0156895943486,-0.0187068549753,0.0,468.0311747886206,467.3104532773651,466.82235103799593,468.0128793814997
0.8400000000000004,0.0168846772703,0.0355467653547,10.7818133308,0.0164379970378,6.27553599364,0.0,0.0519383223489,0.116952380856,1.93104436241,0.0115241805436,-0.0168320659853,0.0,420.4438876816558,420.6063202348465,419.6910093831508,422.04631273833064
0.9000000000000005,0.0201590544826,0.0428981256936,10.9002029048,0.017252295619,6.27460238219,0.0,0.0573031286244,0.128165550804,2.01512753136,0.0173806377809,-0.0131307248464,0.0,435.266527848012,435.5762506353717,435.3693502744539,435.85894004204783
0.9600000000000005,0.0238178477918,0.0510297392657,11.0287811041,0.0184197078152,6.27328906414,0.0,0.0647680284306,0.143018116006,2.27033716913,0.0233155192628,-0.0519749584096,0.0,489.94613684043725,487.04956425607554,486.17414701069526,486.6185150229405
1.0200000000000005,0.0279066837231,0.0599718725849,11.1666973463,0.0196704275221,6.27001530343,0.0,0.0718301833532,0.155177541988,2.3267507126,0.0153807766961,-0.0603156284982,0.0,428.42160034045685,427.70972540025576,428.23372672931725,427.55827259026114
1.0800000000000005,0.032486994913,0.0696700006358,11.308200227,0.0203799730504,6.26656577255,0.0,0.0811857702743,0.168170169712,2.38987417862,0.00354927575287,-0.0523732135969,0.0,430.06549425226547,430.7352566470516,430.94876187243125,429.94743969604565
1.1400000000000006,0.037776810121,0.0802566929068,11.4582661761,0.0207532549745,6.26328962622,0.0,0.0955177970393,0.18474477845,2.61183482465,0.0110916987605,-0.0594799170818,0.0,478.77719302788626,478.23443266829787,479.9407982836063,480.5127936607423
1.2000000000000006,0.0439423258022,0.0917817056039,11.6184456262,0.0212427267026,6.2594229464,0.0,0.110378817845,0.19947692694,2.72720054706,0.00152780977765,-0.0768962086864,0.0,449.11904937878637,447.7011229306424,448.69693271199554,447.9197325389577
1.2600000000000007,0.051182806732,0.104283682433,11.7895394939,0.0214106746732,6.25532088212,0.0,0.131490459145,0.217257788816,2.97529996738,0.00522787628453,-0.0552301519094,0.0,487.6939783874435,489.3063065697948,488.27110999027207,488.54700876331117
